fLength,fSize,fConc,fConc1,fAlpha,fDist,class
41.745,3.1065,0.2504,0.1475,1.2137,167.026,1
17.2692,2.2504,0.5562,0.3118,40.0799,206.442,1
23.1041,2.4281,0.4216,0.2146,21.8327,202.634,1
35.315,2.6871,0.3145,0.1799,5.231,151.136,1
30.7339,2.5484,0.4583,0.3098,4.661,192.529,1
46.3706,2.9206,0.3109,0.1603,2.447,264.805,1
47.0893,2.9763,0.1911,0.0956,2.621,180.709,1
19.7221,2.6248,0.5196,0.3096,31.983,132.292,1
32.9203,3.2348,0.2679,0.1401,13.181,130.225,1
31.4417,2.9827,0.333,0.1722,27.914,96.3967,1
77.8088,3.233,0.1901,0.1108,19.558,201.848,1
71.9672,3.4757,0.2371,0.1339,2.8019,335.801,1
37.4443,3.0257,0.2667,0.1447,7.341,162.335,1
94.8276,4.0896,0.0905,0.0506,1.024,192.106,1
38.0902,3.2331,0.2619,0.1535,25.6015,78.4666,1
27.1239,3.058,0.3132,0.1728,16.169,234.602,1
28.9475,2.78,0.2988,0.1751,56.0565,197.445,1
12.9683,2.3149,0.7458,0.4431,38.1314,162.358,1
35.7536,2.9834,0.267,0.1584,0.226,132.719,1
43.9643,2.8454,0.3212,0.2034,1.228,171.96,1
58.6495,3.0837,0.1814,0.0961,6.845,263.348,1
72.6419,3.0101,0.2794,0.1832,2.1522,329.579,1
20.9402,2.5933,0.4235,0.2258,14.19,107.513,1
91.6993,3.9713,0.1243,0.064,1.9921,346.239,1
17.8663,2.4031,0.6482,0.413,23.3338,76.7357,1
24.9509,2.4928,0.4566,0.2331,23.425,184.21,1
37.8835,2.5752,0.3298,0.1662,6.518,242.106,1
34.9294,2.5658,0.3505,0.1861,1.3937,210.866,1
26.8589,2.5145,0.4465,0.2248,0.638,145.696,1
26.889,2.4433,0.4468,0.2324,18.419,192.16,1
77.8141,3.7987,0.1644,0.0897,2.712,218.662,1
20.2467,2.3096,0.6275,0.3162,79.4844,161.749,1
19.8657,2.3324,0.5953,0.3326,17.929,53.4503,1
18.4491,2.1945,0.8051,0.4824,42.315,135.144,1
39.4796,2.932,0.3474,0.1959,1.129,198.882,1
112.635,2.9868,0.1918,0.1139,17.724,277.313,1
27.1373,2.4281,0.4851,0.2743,17.2732,157.231,1
73.2648,3.5292,0.1718,0.0897,6.2195,285.997,1
61.374,3.0245,0.2108,0.112,3.713,262.058,1
31.257,2.4456,0.4086,0.2097,1.9639,187.887,1
12.6846,2.1055,0.7137,0.3725,4.176,200.477,1
12.8557,2.4141,0.79,0.5723,78.748,169.005,1
13.4592,2.2055,0.8162,0.4704,17.4488,116.823,1
28.7248,2.6107,0.3358,0.1875,3.5355,226.558,1
